,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp (C),Wind Speed
80,Bambous Virieux,40,MU,1612258566,62,-20.3428,57.7575,31.0,8.23
81,Mar del Plata,75,AR,1612258568,82,-38.0023,-57.5575,19.0,4.12
82,Hithadhoo,73,MV,1612258569,67,-0.6,73.0833,28.36,2.02
83,Tigzirt,21,DZ,1612258570,74,36.8886,4.1198,15.93,5.11
84,Benguela,7,AO,1612258571,57,-12.5763,13.4055,27.99,3.6
85,Nome,75,US,1612258572,56,64.5011,-165.4064,-13.89,7.72
86,Lüderitz,0,NA,1612258573,55,-26.6481,15.1594,22.74,6.64
87,Neuquén,0,AR,1612258575,82,-38.9516,-68.0591,12.0,1.54
88,Maków Mazowiecki,100,PL,1612258576,64,52.8649,21.1005,0.56,3.13
89,Saint-Philippe,90,RE,1612258577,62,-21.3585,55.7679,31.0,3.6
90,Norsup,100,VU,1612258578,78,-16.0667,167.3833,28.03,10.67
91,Grindavik,75,IS,1612258579,69,63.8424,-22.4338,-1.0,6.17
92,Bethel,100,US,1612258580,96,41.3712,-73.414,0.0,2.24
93,Geraldton,75,AU,1612258521,51,-28.7667,114.6,30.0,9.26
94,Atar,0,MR,1612258583,14,20.5169,-13.0499,27.3,5.73
95,Talnakh,100,RU,1612258584,85,69.4865,88.3972,-25.79,3.4
96,Coos Bay,90,US,1612258585,100,43.3665,-124.2179,8.0,3.09
97,Grand Gaube,8,MU,1612258586,69,-20.0064,57.6608,29.44,5.36
98,Samarai,77,PG,1612258587,76,-10.6167,150.6667,28.33,7.32
99,Waipawa,99,NZ,1612258588,82,-41.4122,175.5153,17.0,1.54
100,Port Hardy,75,CA,1612258590,93,50.6996,-127.4199,6.0,1.03
101,Port Hedland,90,AU,1612258591,79,-20.3167,118.5667,30.0,7.72
102,Carnarvon,90,AU,1612258592,58,-24.8667,113.6333,31.0,7.72
103,Airai,92,TL,1612258593,100,-8.9266,125.4092,17.33,1.22
104,Bengkulu,95,ID,1612258594,81,-3.8004,102.2655,28.11,3.52
105,Cadillac,90,US,1612258596,86,44.2519,-85.4012,-7.0,3.84
106,Hualmay,99,PE,1612258597,83,-11.0964,-77.6139,20.26,2.03
107,Cooma,75,AU,1612258598,71,-36.2333,149.1333,13.0,4.63
108,Saint Anthony,90,US,1612258599,79,45.0205,-93.218,-6.0,1.21
109,Cap Malheureux,6,MU,1612258600,69,-19.9842,57.6142,29.44,5.36
110,Nikolskoye,75,RU,1612258601,93,59.7035,30.7861,-3.0,5.0
111,Port-Cartier,16,CA,1612258603,67,50.0334,-66.8654,-9.0,1.54
112,Cherskiy,74,RU,1612258604,88,68.75,161.3,-15.97,3.4
113,Beaupré,100,CA,1612258605,74,47.0443,-70.8953,-4.0,5.14
114,Bousso,0,TD,1612258606,10,10.4795,16.7117,34.67,4.03
115,Bathsheba,40,BB,1612258607,61,13.2167,-59.5167,26.0,9.77
116,Clyde River,1,CA,1612258608,75,70.4692,-68.5914,-33.0,1.54
117,Lysyanka,97,UA,1612258610,97,49.2523,30.8295,-2.85,0.55
118,Fortuna,75,US,1612258611,87,40.5982,-124.1573,10.0,2.06
119,Kapaa,40,US,1612258612,94,22.0752,-159.319,22.0,6.17
120,Vardø,40,NO,1612258613,68,70.3705,31.1107,-3.0,8.23
121,Arraial do Cabo,75,BR,1612258614,83,-22.9661,-42.0278,25.0,6.69
122,Christchurch,1,NZ,1612258613,88,-43.5333,172.6333,16.11,7.72
123,Northam,50,GB,1612258617,94,51.0333,-4.2167,11.67,2.24
124,Sovetsk,100,RU,1612258618,97,55.0839,21.8785,-3.43,5.88
125,Wawa,0,NG,1612258619,13,9.9022,4.4192,31.12,2.07
126,Yar-Sale,98,RU,1612258620,96,66.8333,70.8333,-11.52,4.0
127,Pisco,0,PE,1612258622,83,-13.7,-76.2167,21.0,2.57
128,Kodino,88,RU,1612258623,96,63.7198,39.6447,-10.33,2.11
129,Rawson,99,AR,1612258624,36,-43.3002,-65.1023,21.38,1.44
130,Rome,90,US,1612258625,86,43.2128,-75.4557,-5.0,5.14
131,Codrington,97,AU,1612258626,70,-38.2667,141.9667,14.97,4.92
132,San Patricio,1,US,1612258627,75,28.017,-97.5169,7.0,3.09
133,Hilo,90,US,1612258338,78,19.7297,-155.09,21.0,2.76
134,East London,40,ZA,1612258630,56,-33.0153,27.9116,23.0,7.2
135,Bredasdorp,0,ZA,1612258631,36,-34.5322,20.0403,26.0,7.72
136,Saint-Paul,75,RE,1612258632,70,-21.0096,55.2707,30.0,8.75
137,Normandin,95,CA,1612258633,84,48.8333,-72.5321,-16.0,1.54
138,Sigli,97,ID,1612258634,76,5.3848,95.9609,27.48,3.33
139,Den Helder,75,NL,1612258636,93,52.9599,4.7593,1.67,5.66
140,Coquimbo,90,CL,1612258637,94,-29.9533,-71.3436,14.0,1.54
141,Tungor,100,RU,1612258638,83,53.3808,142.9564,-32.03,6.38
142,Wanaka,17,NZ,1612258639,61,-44.7,169.15,15.58,1.25
143,George Town,20,MY,1612258640,66,5.4112,100.3354,31.0,3.6
144,Saskylakh,99,RU,1612258642,85,71.9167,114.0833,-33.16,5.87
145,Ozinki,100,RU,1612258643,99,51.1786,49.6769,1.61,7.74
146,Hofn,100,IS,1612258644,92,64.2539,-15.2082,0.04,6.08
147,Cayenne,90,GF,1612258645,100,4.9333,-52.3333,23.0,4.91
148,Marawi,100,PH,1612258646,88,7.9986,124.2928,25.56,1.77
149,Nanortalik,0,GL,1612258647,92,60.1432,-45.2371,-7.0,4.7
150,Kununurra,94,AU,1612258519,74,-15.7667,128.7333,32.0,2.57
151,Bellavista,81,PE,1612258650,94,-7.0561,-76.5911,20.43,0.35
152,Coyhaique,0,CL,1612258652,87,-45.5752,-72.0662,9.0,2.06
153,Keti Bandar,0,PK,1612258653,47,24.1447,67.4497,25.96,5.73
